Block_Name,Block_Nr,exp_subject_id,rec_session_id,session_nr,Task_Name,Task_Nr,times,Trial_Id,Trial_Nr,variable_name,values,
block_1,1,110519,117790,1,testing,4,1601369917686,3,1,XYGaze,,
block_1,1,110519,117790,1,testing,4,1601369964391,3,1,XYGaze,746.029601545973,270.343184900288
block_1,1,110519,117790,1,testing,4,1601369964452,3,1,XYGaze,781.799618587078,276.723263464671
block_1,1,110519,117790,1,testing,4,1601369964502,3,1,XYGaze,850.142245673865,179.93158705529
block_1,1,110519,117790,1,testing,4,1601369964554,3,1,XYGaze,406.844592475644,137.655120778113
block_1,1,110519,117790,1,testing,4,1601369964605,3,1,XYGaze,831.774802778388,186.001055051475
block_1,1,110519,117790,1,testing,4,1601369964653,3,1,XYGaze,729.038588525021,228.797962425335
block_1,1,110519,117790,1,testing,4,1601369964705,3,1,XYGaze,601.441591098929,182.112194071753
block_1,1,110519,117790,1,testing,4,1601369964759,3,1,XYGaze,393.719646740383,229.594696240272
block_1,1,110519,117790,1,testing,4,1601369964829,3,1,XYGaze,319.649757979806,271.688184907969
block_1,1,110519,117790,1,testing,4,1601369964886,3,1,XYGaze,512.902383881081,336.840199436732
block_1,1,110519,117790,1,testing,4,1601369964972,3,1,XYGaze,244.122242500044,208.242341105923
block_1,1,110519,117790,1,testing,4,1601369965021,3,1,XYGaze,481.148390121271,392.853506629983
block_1,1,110519,117790,1,testing,4,1601369965078,3,1,XYGaze,439.611576206251,300.194763193415
block_1,1,110519,117790,1,testing,4,1601369965136,3,1,XYGaze,375.625691137951,340.88728917583
block_1,1,110519,117790,1,testing,4,1601369965216,3,1,XYGaze,376.332429905904,316.294695702785
block_1,1,110519,117790,1,testing,4,1601369965282,3,1,XYGaze,369.003072916687,328.719243424866
block_1,1,110519,117790,1,testing,4,1601369965334,3,1,XYGaze,397.388899096552,332.702488908119
block_1,1,110519,117790,1,testing,4,1601369965389,3,1,XYGaze,457.465755912279,226.805568886189
block_1,1,110519,117790,1,testing,4,1601369965434,3,1,XYGaze,326.838781983098,264.357831051489
block_1,1,110519,117790,1,testing,4,1601369965486,3,1,XYGaze,459.968059401612,256.583261723344
block_1,1,110519,117790,1,testing,4,1601369965564,3,1,XYGaze,409.586119417913,210.419281626076
block_1,1,110519,117790,1,testing,4,1601369965617,3,1,XYGaze,475.046290925169,219.292265196717
block_1,1,110519,117790,1,testing,4,1601369965671,3,1,XYGaze,489.775717667481,204.511514450168
block_1,1,110519,117790,1,testing,4,1601369965735,3,1,XYGaze,461.366549979533,234.324233437692
block_1,1,110519,117790,1,testing,4,1601369965787,3,1,XYGaze,520.099197645896,223.079769774619
block_1,1,110519,117790,1,testing,4,1601369965868,3,1,XYGaze,515.680958484732,242.729933164042
block_1,1,110519,117790,1,testing,4,1601369965931,3,1,XYGaze,503.791597316196,253.763621898064
block_1,1,110519,117790,1,testing,4,1601369965999,3,1,XYGaze,494.796299212568,230.411776332088
block_1,1,110519,117790,1,testing,4,1601369966047,3,1,XYGaze,513.282341535868,244.665357127926
block_1,1,110519,117790,1,testing,4,1601369966103,3,1,XYGaze,497.314330366213,243.17797484682
block_1,1,110519,117790,1,testing,4,1601369966149,3,1,XYGaze,521.076386810959,256.381666923314
block_1,1,110519,117790,1,testing,4,1601369966205,3,1,XYGaze,483.291531285906,261.487797734293
block_1,1,110519,117790,1,testing,4,1601369966253,3,1,XYGaze,522.981113127064,283.265140067037
block_1,1,110519,117790,1,testing,4,1601369966304,3,1,XYGaze,524.280361402469,276.058794337694
block_1,1,110519,117790,1,testing,4,1601369966357,3,1,XYGaze,501.366895159568,256.317378243672
block_1,1,110519,117790,1,testing,4,1601369966432,3,1,XYGaze,513.644065469941,256.158191195486
block_1,1,110519,117790,1,testing,4,1601369966497,3,1,XYGaze,532.11283699075,277.797265646973
block_1,1,110519,117790,1,testing,4,1601369966549,3,1,XYGaze,504.5713759004,276.701625581136
block_1,1,110519,117790,1,testing,4,1601369966602,3,1,XYGaze,471.287798888156,262.313502425386
block_1,1,110519,117790,1,testing,4,1601369966648,3,1,XYGaze,513.776935839636,297.148633891445
block_1,1,110519,117790,1,testing,4,1601369966704,3,1,XYGaze,459.518987674101,270.759464169944
block_1,1,110519,117790,1,testing,4,1601369966752,3,1,XYGaze,508.387865242702,272.330481454032
block_1,1,110519,117790,1,testing,4,1601369966804,3,1,XYGaze,458.41233538844,228.009269903445
block_1,1,110519,117790,1,testing,4,1601369966855,3,1,XYGaze,486.848816622142,229.764716118468
block_1,1,110519,117790,1,testing,4,1601369966914,3,1,XYGaze,547.165063549728,284.072158126362
block_1,1,110519,117790,1,testing,4,1601369966987,3,1,XYGaze,513.231417975987,249.856581207465
block_1,1,110519,117790,1,testing,4,1601369967072,3,1,XYGaze,526.111066466442,266.732179066225
block_1,1,110519,117790,1,testing,4,1601369967122,3,1,XYGaze,590.198483854315,283.87826435741
block_1,1,110519,117790,1,testing,4,1601369967169,3,1,XYGaze,631.346263375784,305.998472704121
block_1,1,110519,117790,1,testing,4,1601369967218,3,1,XYGaze,594.338464339188,270.226815307133
block_1,1,110519,117790,1,testing,4,1601369967274,3,1,XYGaze,637.050936592921,325.696793578241
block_1,1,110519,117790,1,testing,4,1601369967320,3,1,XYGaze,627.641349096317,299.181636654889
block_1,1,110519,117790,1,testing,4,1601369967370,3,1,XYGaze,619.929386427199,303.952609427101
block_1,1,110519,117790,1,testing,4,1601369967432,3,1,XYGaze,649.565811908263,300.159938422579
block_1,1,110519,117790,1,testing,4,1601369967487,3,1,XYGaze,670.479704390074,311.671042474599
block_1,1,110519,117790,1,testing,4,1601369967538,3,1,XYGaze,650.632799370191,279.711680170345
block_1,1,110519,117790,1,testing,4,1601369967587,3,1,XYGaze,633.319677858476,319.780235144133
block_1,1,110519,117790,1,testing,4,1601369967641,3,1,XYGaze,592.848150867112,304.545790199659
block_1,1,110519,117790,1,testing,4,1601369967687,3,1,XYGaze,623.174667741463,315.707056339424
block_1,1,110519,117790,1,testing,4,1601369967756,3,1,XYGaze,639.564597579246,334.994361588214
block_1,1,110519,117790,1,testing,4,1601369967805,3,1,XYGaze,646.198807854504,281.736228465495
block_1,1,110519,117790,1,testing,4,1601369967849,3,1,XYGaze,652.667371505162,306.876765229621
block_1,1,110519,117790,1,testing,4,1601369967905,3,1,XYGaze,623.020502064909,302.00844975799
block_1,1,110519,117790,1,testing,4,1601369967955,3,1,XYGaze,676.614999574665,288.018787255353
block_1,1,110519,117790,1,testing,4,1601369968007,3,1,XYGaze,633.944364883219,311.061188865595
block_1,1,110519,117790,1,testing,4,1601369968056,3,1,XYGaze,671.276482184449,300.649332350686
block_1,1,110519,117790,1,testing,4,1601369968103,3,1,XYGaze,674.051958166638,331.624670930886
block_1,1,110519,117790,1,testing,4,1601369968153,3,1,XYGaze,609.376098983553,318.15408847706
block_1,1,110519,117790,1,testing,4,1601369968206,3,1,XYGaze,586.213101124685,271.344103672687
block_1,1,110519,117790,1,testing,4,1601369968288,3,1,XYGaze,606.440198356359,294.366527044504
block_1,1,110519,117790,1,testing,4,1601369968357,3,1,XYGaze,664.461638326605,291.701817520746
block_1,1,110519,117790,1,testing,4,1601369968406,3,1,XYGaze,645.102488422084,326.478021169194
block_1,1,110519,117790,1,testing,4,1601369968455,3,1,XYGaze,545.865938725378,615.318031440671
block_1,1,110519,117790,1,testing,4,1601369968515,3,1,XYGaze,353.212732504317,639.828531505775
block_1,1,110519,117790,1,testing,4,1601369968586,3,1,XYGaze,484.159620581771,625.358231612622
block_1,1,110519,117790,1,testing,4,1601369968640,3,1,XYGaze,644.73655480706,447.370154195401
block_1,1,110519,117790,1,testing,4,1601369968683,3,1,XYGaze,638.707180627021,382.266276318969
block_1,1,110519,117790,1,testing,4,1601369968747,3,1,XYGaze,733.701482985508,380.76223508966
block_1,1,110519,117790,1,testing,4,1601369968788,3,1,XYGaze,640.441174135091,292.698472602358
block_1,1,110519,117790,1,testing,4,1601369968862,3,1,XYGaze,596.157095890055,269.198182544623
block_1,1,110519,117790,1,testing,4,1601369968913,3,1,XYGaze,640.034551052585,326.434203760624
block_1,1,110519,117790,1,testing,4,1601369968951,3,1,XYGaze,619.705989399419,246.634064267606
block_1,1,110519,117790,1,testing,4,1601369969007,3,1,XYGaze,602.149397718502,236.503729394667
block_1,1,110519,117790,1,testing,4,1601369969057,3,1,XYGaze,673.567931273114,294.458932473322
block_1,1,110519,117790,1,testing,4,1601369969108,3,1,XYGaze,626.666061077489,224.469073279395
block_1,1,110519,117790,1,testing,4,1601369969150,3,1,XYGaze,569.883242569903,204.610107091511
block_1,1,110519,117790,1,testing,4,1601369969208,3,1,XYGaze,614.572943943905,166.537834365079
block_1,1,110519,117790,1,testing,4,1601369969251,3,1,XYGaze,560.882179302041,180.303625324946
block_1,1,110519,117790,1,testing,4,1601369969331,3,1,XYGaze,573.523196904621,175.18640475145
block_1,1,110519,117790,1,testing,4,1601369969375,3,1,XYGaze,598.169533250998,179.455123081977
block_1,1,110519,117790,1,testing,4,1601369969452,3,1,XYGaze,554.042546472502,153.551729401125
block_1,1,110519,117790,1,testing,4,1601369969517,3,1,XYGaze,519.439092513688,129.20590224043
block_1,1,110519,117790,1,testing,4,1601369969575,3,1,XYGaze,502.860196147156,158.33535436326
